n_boite,adresse,commune,cp,conteneur,semaine_1,semaine_2,semaine_3,semaine_4,semaine_5,semaine_6,semaine_7,semaine_8,semaine_9,semaine_10,semaine_11,semaine_12,semaine_13,semaine_14,semaine_15,semaine_16,semaine_17,semaine_18,semaine_19,semaine_20,semaine_21,semaine_22,semaine_23,semaine_24,semaine_25,semaine_26,semaine_27,semaine_28,semaine_29,semaine_30,semaine_31,semaine_32,semaine_33,semaine_34,semaine_35,semaine_36,semaine_37,semaine_38,semaine_39,semaine_40,semaine_41,semaine_42,semaine_43,semaine_44,semaine_45,semaine_46,semaine_47,semaine_48,semaine_49,semaine_50,semaine_51,semaine_52,volume_moyen
109,"déchetterie - Migros, Blavignac 109 (1)",CAROUGE,1227.0,KLEIN,3.0,8.0,7.0,7.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,,5.0,6.0,8.0,4.0,8.0,4.0,4.0,8.0,9.0,6.0,4.0,3.0,5.0,7.0,7.0,5.0,10.0,2.0,5.0,4.0,8.0,1.0,4.0,3.0,8.0,6.0,5.0,4.0,8.0,4.0,5.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,4.588235294117647
231,"déchetterie - Migros, Blavignac 109 (2)",CAROUGE,1227.0,KLEIN,5.0,8.0,6.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,,5.0,8.0,7.0,5.0,3.0,3.0,4.0,9.0,8.0,6.0,2.0,3.0,6.0,5.0,7.0,5.0,10.0,4.0,4.0,4.0,6.0,1.0,5.0,3.0,8.0,4.0,5.0,4.0,8.0,4.0,5.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,4.333333333333333
376,Boulevard des Promenades 20-22,CAROUGE,1227.0,KLEIN,4.0,4.0,4.0,2.0,2.0,5.0,1.0,2.0,4.0,2.0,1.0,2.0,,4.0,4.0,2.0,0.0,1.0,4.0,2.0,9.0,0.0,0.0,6.0,2.0,6.0,4.0,7.0,5.0,1.0,5.0,3.0,4.0,2.0,1.0,4.0,3.0,8.0,4.0,4.0,3.0,5.0,4.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.9215686274509802
377,déchetterie - Avenue de la Praille 47 (1),GENEVE ESREC,1227.0,KLEIN,8.0,10.0,4.0,6.0,8.0,7.0,10.0,7.0,10.0,4.0,3.0,4.0,,7.0,7.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,6.0,8.0,10.0,10.0,5.0,5.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,14.0,9.0,9.0,6.0,6.0,4.0,6.0,10.0,7.470588235294118
378,déchetterie - Avenue de la Praille 47 (2),GENEVE ESREC,1227.0,KLEIN,8.0,10.0,8.0,6.0,8.0,7.0,10.0,7.0,10.0,4.0,2.0,6.0,,7.0,8.0,0.0,5.0,10.0,5.0,5.0,10.0,15.0,10.0,8.0,10.0,4.0,2.0,10.0,10.0,4.0,6.0,5.0,4.0,8.0,8.0,8.0,6.0,8.0,6.0,0.0,8.0,8.0,8.0,8.0,14.0,10.0,9.0,6.0,4.0,2.0,4.0,5.0,6.9411764705882355
379,déchetterie - Avenue de la Praille 47 (3),GENEVE ESREC,1227.0,KLEIN,10.0,10.0,8.0,10.0,8.0,7.0,8.0,6.0,10.0,6.0,3.0,5.0,,5.0,10.0,0.0,5.0,5.0,5.0,7.0,8.0,10.0,6.0,9.0,5.0,1.0,9.0,10.0,10.0,2.0,7.0,4.0,4.0,6.0,1.0,8.0,4.0,8.0,6.0,0.0,8.0,8.0,6.0,6.0,0.0,4.0,10.0,4.0,2.0,2.0,2.0,5.0,5.9411764705882355
74,déchetterie - Rue Louis Favre 43,GENEVE,1209.0,KLEIN,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,,3.0,3.0,3.0,6.0,3.0,2.0,1.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,6.0,4.0,2.0,1.0,5.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,3.2549019607843137
129,"déchetterie - Centre Commercial Blandonnet, Chemin Coquelicots",VERNIER,1214.0,KLEIN,5.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,1.9615384615384615
190,Route de Peney 27-41 (2),VERNIER,1214.0,KLEIN,6.0,2.0,3.0,2.0,6.0,4.0,7.0,5.0,8.0,5.0,4.0,3.0,2.0,0.0,3.0,8.0,5.0,8.0,4.0,0.0,4.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,6.0,8.0,4.0,2.0,2.0,5.0,4.0,8.0,3.0,4.0,8.0,3.0,5.0,4.0,5.0,5.0,8.0,4.0,4.0,4.0,2.0,8.0,5.0,4.0,4.788461538461538
207,Chemin de l'Echarpine,VERNIER,1214.0,KLEIN,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,8.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,6.0,5.0,1.0,2.4423076923076925
