n_boite,adresse,commune,cp,conteneur,semaine_1,semaine_2,semaine_3,semaine_4,semaine_5,semaine_6,semaine_7,semaine_8,semaine_9,semaine_10,semaine_11,semaine_12,semaine_13,semaine_14,semaine_15,semaine_16,semaine_17,semaine_18,semaine_19,semaine_20,semaine_21,semaine_22,semaine_23,semaine_24,semaine_25,semaine_26,semaine_27,semaine_28,semaine_29,semaine_30,semaine_31,semaine_32,semaine_33,semaine_34,semaine_35,semaine_36,semaine_37,semaine_38,semaine_39,semaine_40,semaine_41,semaine_42,semaine_43,semaine_44,semaine_45,semaine_46,semaine_47,semaine_48,semaine_49,semaine_50,semaine_51,semaine_52,volume_moyen
171,"déchetterie - École de Châtelaine, Chemin des Eglantines 3 (2)",VERNIER,1214.0,KLEIN,4.0,4.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,5.0,3.0,2.0,4.0,2.0,2.0,0.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,6.0,0.0,4.0,4.0,1.0,3.0,2.0,2.2884615384615383
12,Chemin des Ouches 1 / Chemin des Sports,GENEVE,1203.0,KLEIN,6.0,2.0,3.0,5.0,5.0,8.0,4.0,8.0,2.0,6.0,5.0,3.0,4.0,0.0,6.0,8.0,3.0,6.0,4.0,6.0,3.0,4.0,5.0,5.0,5.0,6.0,8.0,4.0,3.0,7.0,3.0,3.0,8.0,5.0,4.0,3.0,3.0,5.0,9.0,10.0,4.0,4.0,3.0,4.0,5.0,3.0,6.0,5.0,8.0,8.0,6.0,8.0,5.019230769230769
205,déchetterie - Rond-Point du Chemin de l'Écu 17,VERNIER,1214.0,KLEIN,4.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,4.0,5.0,1.0,2.0,2.0,0.0,3.0,3.0,2.0,6.0,2.0,2.0,4.0,6.0,3.0,5.0,4.0,5.0,7.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,7.0,6.0,5.0,6.0,3.0,3.0,4.0,4.0,6.0,3.0,5.0,4.0,3.9038461538461537
210,déchetterie - Chemin Isaac Anken / Chemin de la Herse,VERNIER,1214.0,KLEIN,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,4.0,4.0,8.0,2.0,3.0,3.0,2.0,5.0,5.0,4.0,1.0,8.0,1.0,10.0,4.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0576923076923075
127,déchetterie - Gordon Bennet / Chemin de la Muraille,VERNIER,1214.0,KLEIN,4.0,2.0,1.0,2.0,3.0,2.0,2.0,5.0,6.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,7.0,2.0,2.0,6.0,3.0,2.0,4.0,8.0,4.0,2.0,4.0,10.0,8.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,3.269230769230769
242,"déchetterie - Migros, Place du Lignon (1)",VERNIER,1214.0,KLEIN,4.0,1.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,0.0,4.0,4.0,3.0,4.0,2.0,0.0,2.0,3.0,4.0,4.0,5.0,4.0,7.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,7.0,8.0,2.0,7.0,5.0,7.0,7.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,3.5384615384615383
244,"déchetterie - Migros, Place du Lignon (2)",VERNIER,1214.0,KLEIN,2.0,2.0,2.0,2.0,1.0,1.0,6.0,5.0,5.0,2.0,3.0,2.0,1.0,0.0,4.0,4.0,3.0,6.0,3.0,0.0,2.0,2.0,3.0,6.0,5.0,4.0,8.0,2.0,3.0,5.0,2.0,2.0,8.0,2.0,2.0,2.0,7.0,8.0,8.0,3.0,10.0,5.0,8.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.6538461538461537
184,"déchetterie - Tour du Lignon, Terminus TPG (1)",VERNIER,1214.0,KLEIN,0.0,6.0,2.0,2.0,4.0,3.0,5.0,8.0,6.0,3.0,2.0,4.0,2.0,0.0,6.0,3.0,4.0,6.0,2.0,4.0,2.0,5.0,1.0,6.0,5.0,4.0,7.0,4.0,3.0,3.0,4.0,6.0,8.0,3.0,3.0,3.0,8.0,6.0,8.0,10.0,10.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,4.173076923076923
185,"déchetterie - Tour du Lignon, Terminus TPG (2)",VERNIER,1214.0,KLEIN,0.0,6.0,2.0,2.0,2.0,0.0,1.0,8.0,2.0,4.0,2.0,2.0,2.0,0.0,6.0,4.0,3.0,5.0,2.0,0.0,5.0,0.0,1.0,6.0,7.0,4.0,7.0,8.0,2.0,8.0,7.0,6.0,4.0,3.0,3.0,3.0,7.0,7.0,8.0,10.0,10.0,5.0,7.0,8.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,3.0,4.211538461538462
189,"déchetterie - École d'Aïre, Chemin du Grand Champ",VERNIER,1214.0,KLEIN,2.0,4.0,2.0,2.0,7.0,1.0,4.0,7.0,5.0,4.0,1.0,2.0,2.0,0.0,3.0,4.0,2.0,5.0,2.0,0.0,2.0,1.0,3.0,3.0,2.0,4.0,8.0,2.0,3.0,6.0,2.0,5.0,5.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,5.0,10.0,8.0,5.0,4.0,0.0,4.0,3.0,4.0,2.0,3.0,3.0,3.576923076923077
334,Route des Romelles 19,BELLEVUE,1293.0,KLEIN,2.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,6.0,4.0,4.0,4.0,7.0,4.0,2.0,5.0,4.0,2.0,4.0,2.0,3.0,0.0,4.0,4.0,4.0,3.0,4.0,2.0,8.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,3.1538461538461537
4,Chemin de Mollies 388,BELLEVUE,1293.0,KLEIN,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,6.0,2.0,2.0,0.0,0.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.8653846153846154
104,"Mairie, Route de Lausanne 328",BELLEVUE,1293.0,KLEIN,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,8.0,2.0,1.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.9423076923076923
103,"Crèche, Chemin de la Menuiserie 41",BELLEVUE,1293.0,KLEIN,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,6.0,4.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,2.25
111,Chemin de la Pelotière / Route des Fayards,VERSOIX,1290.0,KLEIN,3.0,6.0,4.0,2.0,4.0,3.0,6.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,5.0,7.0,6.0,5.0,5.0,8.0,0.0,8.0,6.0,8.0,4.0,7.0,7.0,7.0,7.0,8.0,7.0,5.0,4.0,5.0,10.0,4.0,5.0,2.0,6.0,3.0,3.0,5.0,4.0,0.0,4.0,5.0,4.0,5.0,6.0,5.0,8.0,6.0,5.0576923076923075
101,"Parking, Place Bordier (2)",VERSOIX,1290.0,KLEIN,6.0,6.0,4.0,2.0,3.0,5.0,8.0,8.0,8.0,5.0,5.0,5.0,2.0,4.0,6.0,10.0,7.0,6.0,5.0,10.0,7.0,7.0,8.0,7.0,6.0,7.0,8.0,8.0,4.0,5.0,8.0,5.0,7.0,6.0,7.0,8.0,8.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,8.0,8.0,5.0,6.0,6.0,5.0,4.0,8.0,6.153846153846154
102,Grand Montfleury (1),VERSOIX,1290.0,KLEIN,4.0,7.0,3.0,2.0,3.0,4.0,5.0,5.0,8.0,6.0,5.0,4.0,4.0,4.0,6.0,8.0,6.0,5.0,7.0,2.0,6.0,5.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,7.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,8.0,8.0,6.0,5.0,5.0,5.0,6.0,5.0,5.576923076923077
296,"Parking Lachenal, Route de St-Loup / Chemin des Villars (1)",VERSOIX,1290.0,KLEIN,4.0,6.0,6.0,2.0,3.0,2.0,1.0,8.0,6.0,6.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,8.0,6.0,7.0,8.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,5.0,4.0,6.0,6.0,5.0,7.0,7.0,6.0,5.0,7.0,6.0,7.0,7.0,8.0,8.0,4.0,4.0,8.0,5.0,8.0,8.0,4.923076923076923
108,"Parking Lachenal, Route de St-Loup / Chemin des Villars (2)",VERSOIX,1290.0,KLEIN,2.0,6.0,2.0,2.0,8.0,2.0,6.0,7.0,3.0,6.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,4.0,5.0,8.0,1.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,7.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,8.0,4.0,8.0,6.0,5.0,6.0,4.0,4.3076923076923075
107,"Parking Lachenal, Route de St-Loup / Chemin des Villars (3)",VERSOIX,1290.0,KLEIN,1.0,2.0,4.0,2.0,4.0,2.0,0.0,4.0,2.0,6.0,2.0,1.0,2.0,5.0,2.0,6.0,8.0,1.0,3.0,1.0,2.0,1.0,4.0,4.0,7.0,2.0,6.0,6.0,6.0,4.0,6.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,3.3846153846153846
105,"Parking Lachenal, Route de St-Loup / Chemin des Villars (4)",VERSOIX,1290.0,KLEIN,1.0,3.0,4.0,2.0,5.0,2.0,0.0,0.0,1.0,6.0,2.0,1.0,2.0,6.0,2.0,10.0,7.0,1.0,6.0,2.0,2.0,1.0,1.0,3.0,8.0,5.0,8.0,5.0,7.0,7.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0,1.0,3.0,2.0,3.076923076923077
216,déchetterie - Route de Collex 208,COLLEX-BOSSY,1239.0,KLEIN,3.0,5.0,8.0,0.0,3.0,2.0,4.0,6.0,3.0,4.0,3.0,2.0,0.0,4.0,2.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,7.0,2.0,3.0,3.0,5.0,3.0,6.0,3.0,5.0,3.0,3.0,2.0,4.0,8.0,8.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,8.0,6.0,6.0,6.0,4.019230769230769
119,Chemin de la Roselière,BELLEVUE,1293.0,KLEIN,2.0,2.0,4.0,2.0,4.0,6.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,6.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,7.0,7.0,4.0,5.0,6.0,6.0,4.0,6.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,6.0,5.0,6.0,6.0,4.0,4.153846153846154
380,déchetterie - Parking de la Gare / Chemin de Chambésy 13,PREGNY-CHAMBESY,1292.0,KLEIN,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,7.0,5.0,3.0,1.0,5.0,2.0,1.0,3.0,3.0,1.9038461538461537
120,déchetterie - Chemin des Chataigniers 10,PREGNY-CHAMBESY,1292.0,KLEIN,2.0,2.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,8.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,5.0,4.0,2.0,0.0,3.0,6.0,3.0,2.0,4.0,2.4615384615384617
180,déchetterie - Route de Vallery 91,PREGNY-CHAMBESY,1292.0,KLEIN,1.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,8.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,5.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,2.326923076923077
116,"Voirie, Avenue Foretaille 8c",PREGNY-CHAMBESY,1292.0,KLEIN,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,6.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,2.519230769230769
214,déchetterie - Chemin Valerie 23,PREGNY-CHAMBESY,1292.0,KLEIN,4.0,5.0,2.0,4.0,1.0,3.0,0.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,7.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,7.0,5.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,8.0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,3.230769230769231
118,"Parking, Route de Prégny 38-41",PREGNY-CHAMBESY,1292.0,KLEIN,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,0.0,5.0,5.0,3.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,2.7115384615384617
318,"Jardin des Burgondes, Ancienne Route 20 (2)",GRAND-SACONNEX,1218.0,KLEIN,2.0,4.0,4.0,1.0,2.0,4.0,6.0,0.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,5.0,2.0,1.0,4.0,4.0,5.0,4.0,2.0,3.0,10.0,6.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,3.2115384615384617
292,Place de Carantec (1),GRAND-SACONNEX,1218.0,KLEIN,4.0,5.0,6.0,2.0,6.0,6.0,5.0,5.0,8.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,4.0,2.0,8.0,3.0,3.0,7.0,6.0,4.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,10.0,4.0,5.0,2.0,4.0,6.0,5.0,5.0,6.0,3.0,5.0,4.0,4.0,5.0,2.0,5.0,4.0,4.5
293,Place de Carantec (2),GRAND-SACONNEX,1218.0,KLEIN,4.0,5.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,5.0,3.0,2.0,4.0,6.0,5.0,3.0,5.0,6.0,4.0,6.0,4.0,3.0,5.0,7.0,5.0,7.0,7.0,6.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,10.0,8.0,4.0,2.0,3.0,5.0,6.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.211538461538462
254,déchetterie - l'Ancienne Route / Chemin Alfred Bétems,GRAND-SACONNEX,1218.0,KLEIN,2.0,4.0,1.0,1.0,1.0,7.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,8.0,2.0,5.0,3.0,8.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,8.0,5.0,5.0,2.0,5.0,4.0,3.6923076923076925
264,"Parking Salle Communale, Ancienne Route 63",GRAND-SACONNEX,1218.0,KLEIN,2.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,0.0,2.0,6.0,3.0,3.0,2.0,4.0,2.0,2.0,8.0,4.0,5.0,2.0,3.0,3.0,7.0,4.0,5.0,7.0,5.0,5.0,4.0,6.0,3.0,4.0,3.0,5.0,4.0,3.519230769230769
306,"déchetterie - Quartier du Pommier, Rue Gardiol 14 (1)",GRAND-SACONNEX,1218.0,KLEIN,6.0,6.0,7.0,1.0,6.0,7.0,3.0,5.0,8.0,2.0,6.0,6.0,5.0,3.0,6.0,6.0,5.0,3.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,6.0,8.0,5.0,4.0,4.0,2.0,5.0,5.0,10.0,7.0,5.0,8.0,4.0,10.0,8.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.980769230769231
305,"déchetterie - Quartier du Pommier, Rue Gardiol 14 (2)",GRAND-SACONNEX,1218.0,KLEIN,2.0,5.0,7.0,1.0,3.0,2.0,3.0,3.0,6.0,2.0,6.0,6.0,5.0,2.0,6.0,6.0,6.0,5.0,4.0,3.0,1.0,3.0,5.0,2.0,2.0,4.0,7.0,5.0,5.0,3.0,2.0,7.0,3.0,10.0,6.0,5.0,9.0,3.0,3.0,8.0,5.0,4.0,6.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.384615384615385
253,Rue Alberto Giacometti / Rue Sonnex (1),GRAND-SACONNEX,1218.0,KLEIN,2.0,6.0,7.0,1.0,8.0,5.0,3.0,3.0,8.0,7.0,4.0,6.0,5.0,2.0,6.0,6.0,4.0,3.0,2.0,1.0,4.0,1.0,6.0,2.0,3.0,6.0,6.0,5.0,4.0,4.0,2.0,7.0,6.0,8.0,7.0,5.0,9.0,4.0,3.0,7.0,5.0,3.0,7.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,8.0,4.0,4.769230769230769
252,Rue Alberto Giacometti / Rue Sonnex (2),GRAND-SACONNEX,1218.0,KLEIN,6.0,5.0,7.0,1.0,5.0,6.0,0.0,3.0,7.0,7.0,4.0,6.0,5.0,8.0,6.0,7.0,4.0,6.0,4.0,1.0,3.0,4.0,0.0,2.0,2.0,5.0,7.0,5.0,4.0,2.0,2.0,7.0,5.0,8.0,7.0,6.0,9.0,5.0,2.0,6.0,4.0,6.0,7.0,3.0,6.0,4.0,4.0,3.0,3.0,5.0,8.0,5.0,4.75
115,"déchetterie - Centre Com. Balexert, Avenue Louis Casai 27 / Route de Meyrin",GENEVE,1209.0,KLEIN,3.0,1.0,2.0,4.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,2.0,3.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.6923076923076923
250,déchetterie - Chemin du Jonc / Jacques Attenville (1),GRAND-SACONNEX,1218.0,KLEIN,2.0,2.0,3.0,2.0,3.0,3.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,6.0,8.0,7.0,7.0,6.0,7.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,0.0,2.9038461538461537
251,déchetterie - Chemin du Jonc / Jacques Attenville (2),GRAND-SACONNEX,1218.0,KLEIN,2.0,2.0,3.0,2.0,3.0,0.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,0.0,2.1923076923076925
300,"Centre de Récup. Parking École la Tour, F. Lehmann (1)",GRAND-SACONNEX,1218.0,KLEIN,2.0,6.0,4.0,2.0,6.0,5.0,8.0,6.0,3.0,2.0,2.0,2.0,3.0,6.0,4.0,3.0,4.0,3.0,1.0,10.0,4.0,0.0,1.0,3.0,5.0,6.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,8.0,4.0,2.0,7.0,8.0,6.0,7.0,7.0,7.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,0.0,4.173076923076923
301,"Centre de Récup. Parking École la Tour, F. Lehmann (2)",GRAND-SACONNEX,1218.0,KLEIN,4.0,6.0,4.0,2.0,0.0,1.0,8.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,6.0,3.0,3.0,8.0,0.0,3.0,6.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,5.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,3.2115384615384617
154,déchetterie - Chemin Moïse Duboule 47,GENEVE,1209.0,KLEIN,5.0,6.0,3.0,4.0,1.0,6.0,9.0,6.0,10.0,4.0,2.0,3.0,4.0,3.0,6.0,7.0,5.0,4.0,3.0,8.0,8.0,4.0,4.0,7.0,3.0,6.0,7.0,7.0,4.0,6.0,7.0,4.0,2.0,8.0,3.0,3.0,9.0,9.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,0.0,4.634615384615385
70,"Parking École de Budé, Chemin Moïse Duboule 4",GENEVE,1209.0,KLEIN,4.0,2.0,3.0,4.0,2.0,5.0,9.0,4.0,4.0,4.0,4.0,3.0,4.0,7.0,3.0,7.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,6.0,7.0,4.0,3.0,5.0,6.0,3.0,3.0,8.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,4.0,8.0,2.0,5.0,3.0,2.0,3.0,0.0,3.7115384615384617
73,"déchetterie - Centre Commercial, Avenue de Budé 15",GENEVE,1202.0,KLEIN,6.0,7.0,3.0,4.0,2.0,4.0,9.0,4.0,4.0,3.0,4.0,3.0,5.0,6.0,3.0,6.0,2.0,4.0,2.0,4.0,6.0,7.0,7.0,5.0,4.0,6.0,7.0,4.0,4.0,6.0,6.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,2.0,8.0,0.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,6.0,0.0,4.096153846153846
96,déchetterie - Chemin de Sous-Bois 14,GENEVE,1202.0,KLEIN,7.0,6.0,4.0,4.0,4.0,5.0,8.0,6.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,8.0,5.0,3.0,3.0,2.0,6.0,8.0,7.0,7.0,5.0,5.0,6.0,4.0,4.0,7.0,5.0,4.0,3.0,5.0,4.0,3.0,9.0,5.0,5.0,8.0,8.0,7.0,3.0,4.0,4.0,8.0,6.0,6.0,8.0,5.0,5.0,0.0,5.076923076923077
91,Rue Maurice Braillard / Chemin des Colombettes 1,GENEVE,1202.0,KLEIN,4.0,7.0,4.0,4.0,5.0,7.0,8.0,6.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,7.0,5.0,3.0,2.0,4.0,7.0,6.0,8.0,3.0,2.0,4.0,7.0,4.0,4.0,6.0,7.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,6.0,8.0,7.0,5.0,5.0,7.0,4.0,8.0,6.0,6.0,4.0,4.0,5.0,0.0,4.826923076923077
82,déchetterie - Rue de Moillebeau 32 (1),GENEVE,1209.0,KLEIN,2.0,3.0,4.0,3.0,5.0,8.0,8.0,4.0,9.0,1.0,3.0,5.0,4.0,2.0,5.0,8.0,6.0,3.0,4.0,4.0,7.0,3.0,6.0,5.0,3.0,6.0,6.0,3.0,7.0,6.0,3.0,4.0,4.0,5.0,5.0,2.0,8.0,8.0,4.0,7.0,8.0,6.0,4.0,2.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,0.0,4.634615384615385
381,déchetterie - Rue de Moillebeau 32 (2),GENEVE,1209.0,KLEIN,2.0,4.0,4.0,3.0,5.0,8.0,8.0,2.0,7.0,2.0,3.0,5.0,3.0,6.0,5.0,8.0,6.0,2.0,4.0,2.0,6.0,2.0,5.0,6.0,4.0,6.0,8.0,4.0,8.0,7.0,3.0,4.0,3.0,4.0,4.0,2.0,7.0,7.0,6.0,6.0,6.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,0.0,2.0,5.0,0.0,4.346153846153846
382,"Tradall SA, Rue du Bois du Lan",MEYRIN,1217.0,KLEIN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0192307692307692
